Title:,"Time Series, Area-Averaged of Total Column Water Vapor (Daytime/Ascending) daily (daily)"
User Start Date:,1990-01-01T00:00:00Z
User End Date:,2020-01-02T23:59:59Z
User Bounding Box:,"-97,18,-93.6,22.33"
Data Bounding Box:,"-96.5,18.5,-94.5,21.5"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=1990-01-01T00:00:00Z&endtime=2020-01-02T23:59:59Z&bbox=-97,18,-93.6,22.33&data=AIRX3STD_006_TotH2OVap_A&portal=GIOVANNI&format=json"
Fill Value (mean_AIRX3STD_006_TotH2OVap_A):, -9999

time, mean_AIRX3STD_006_TotH2OVap_A
2004-11-21,23.4665108
2004-11-22,29.3348293
2004-11-23,26.6335316
2004-11-24,35.3966675
2004-11-25,-9999
2004-11-26,32.4140358
2004-11-27,27.1716137
2004-11-28,34.4762383
2004-11-29,32.040844
2004-11-30,31.5757027
2004-12-01,33.4777679
2004-12-02,26.3910961
2004-12-03,27.2088661
2004-12-04,-9999
2004-12-05,27.5948792
2004-12-06,23.3181381
2004-12-07,24.3478565
2004-12-08,40.5416451
2004-12-09,39.1966133
2004-12-10,35.9013634
2004-12-11,-9999
2004-12-12,20.9416885
2004-12-13,18.340271
2004-12-14,31.7213554
2004-12-15,31.9243965
2004-12-16,38.16539
2004-12-17,33.5047035
2004-12-18,26.0338669
2004-12-19,28.6445942
2004-12-20,-9999
2004-12-21,30.3270073
2004-12-22,31.5230942
2004-12-23,31.017971
2004-12-24,22.9889984
2004-12-25,24.0128059
2004-12-26,16.162487
2004-12-27,-9999
2004-12-28,21.7343006
2004-12-29,14.8149481
2004-12-30,22.0118332
2004-12-31,31.2606564
2005-01-01,38.9225388
2005-01-02,37.9788322
2005-01-03,27.2046432
2005-01-04,26.8037605
2005-01-05,-9999
2005-01-06,26.714365
2005-01-07,23.9743042
2005-01-08,30.4185905
2005-01-09,26.6472588
2005-01-10,28.2913647
2005-01-11,26.3107433
2005-01-12,-9999
2005-01-13,29.3889122
2005-01-14,16.7449799
2005-01-15,22.0527821
2005-01-16,23.3515759
2005-01-17,23.1978321
2005-01-18,23.1300259
2005-01-19,21.7484818
2005-01-20,24.5388336
2005-01-21,-9999
2005-01-22,28.9358673
2005-01-23,32.082737
2005-01-24,29.7043819
2005-01-25,30.5546303
2005-01-26,25.7045059
2005-01-27,29.167881
2005-01-28,-9999
2005-01-29,26.5557804
2005-01-30,22.6989059
2005-01-31,28.2578812
2005-02-01,29.0856018
2005-02-02,28.1009407
2005-02-03,34.0220299
2005-02-04,32.7358551
2005-02-05,29.7603512
2005-02-06,-9999
2005-02-07,32.4562187
2005-02-08,28.7736149
2005-02-09,27.9655209
2005-02-10,35.544426
2005-02-11,29.7678852
2005-02-12,25.9018307
2005-02-13,-9999
2005-02-14,30.5696545
2005-02-15,19.142065
2005-02-16,19.9262123
2005-02-17,30.6555824
2005-02-18,33.654232
2005-02-19,33.3106842
2005-02-20,25.9542236
2005-02-21,31.4893379
2005-02-22,-9999
2005-02-23,29.0101776
2005-02-24,35.0193939
2005-02-25,38.632473
2005-02-26,39.4323311
2005-02-27,26.5686207
2005-02-28,25.2766476
2005-03-01,-9999
2005-03-02,33.3270683
2005-03-03,30.6581688
2005-03-04,35.9576874
2005-03-05,34.4858665
2005-03-06,41.6059151
2005-03-07,39.0402946
2005-03-08,42.8546371
2005-03-09,35.5776863
2005-03-10,-9999
2005-03-11,34.1931725
2005-03-12,33.7584419
2005-03-13,29.0527954
2005-03-14,39.1565056
2005-03-15,43.9532127
2005-03-16,35.8260536
2005-03-17,-9999
2005-03-18,21.5022964
2005-03-19,17.0215111
2005-03-20,28.0916576
2005-03-21,21.9536419
2005-03-22,28.546978
2005-03-23,31.218914
2005-03-24,30.5720654
2005-03-25,23.22579
2005-03-26,-9999
2005-03-27,35.2252464
2005-03-28,27.5150356
2005-03-29,32.2242775
2005-03-30,31.7907829
2005-03-31,33.7286415
2005-04-01,40.0064354
2005-04-02,-9999
2005-04-03,22.2288609
2005-04-04,26.2249775
2005-04-05,28.8705273
2005-04-06,35.9590836
2005-04-07,30.8953724
2005-04-08,22.9085178
2005-04-09,27.0401878
2005-04-10,28.8849792
2005-04-11,-9999
2005-04-12,36.3274994
2005-04-13,38.8941345
2005-04-14,34.6774635
2005-04-15,30.1109886
2005-04-16,29.0091534
2005-04-17,30.5801048
2005-04-18,-9999
2005-04-19,39.2615852
2005-04-20,36.4080658
2005-04-21,45.2141533
